Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Area
Sembawang,2022,3,14,3.4,3.0,3.4,3.4,28.1,32.8,25.3,0.0,0.0,North
Sembawang,2022,3,15,16.5,5.8,7.4,11.1,26.1,31.7,23.6,0.0,0.0,North
Sembawang,2022,3,16,2.4,2.2,2.2,2.2,27.8,33.0,23.7,0.0,0.0,North
Sembawang,2022,3,17,7.2,6.4,7.2,7.2,26.8,31.1,24.3,0.0,0.0,North
Sembawang,2022,3,18,0.0,0.0,0.0,0.0,28.3,33.4,24.2,0.0,0.0,North
Sembawang,2022,3,19,0.0,0.0,0.0,0.0,29.3,35.2,25.1,0.0,0.0,North
Sembawang,2022,3,20,0.0,0.0,0.0,0.0,28.8,33.0,26.0,0.0,0.0,North
Sembawang,2022,3,21,0.2,0.2,0.2,0.2,28.4,33.4,23.3,0.0,0.0,North
Sembawang,2022,3,22,16.5,16.1,16.5,16.5,28.2,33.2,25.4,0.0,0.0,North
Sembawang,2022,3,23,50.1,39.8,49.0,50.1,27.3,33.8,23.6,0.0,0.0,North
Sembawang,2022,3,24,22.1,11.1,18.9,21.7,27.4,34.7,24.2,0.0,0.0,North
Sembawang,2022,3,25,0.0,0.0,0.0,0.0,27.9,34.0,24.3,0.0,0.0,North
Sembawang,2022,3,26,18.9,10.3,17.3,18.5,27.5,34.5,23.6,0.0,0.0,North
Sembawang,2022,3,27,0.2,0.2,0.2,0.2,28.0,34.3,23.3,0.0,0.0,North
Sembawang,2022,3,28,70.0,42.8,60.9,70.0,27.4,34.4,23.8,0.0,0.0,North
Sembawang,2022,3,29,17.9,15.7,17.7,17.9,27.4,33.9,24.7,0.0,0.0,North
Sembawang,2022,3,30,10.0,8.4,10.0,10.0,27.8,33.7,24.2,0.0,0.0,North
Sembawang,2022,3,31,3.2,2.2,3.0,3.2,27.1,32.3,24.4,0.0,0.0,North
Sembawang,2022,4,1,1.4,1.4,1.4,1.4,27.7,33.9,23.5,0.0,0.0,North
Sembawang,2022,4,2,1.6,1.0,1.0,1.4,27.1,33.3,24.1,0.0,0.0,North
Sembawang,2022,4,3,19.5,12.5,16.9,19.3,25.8,30.9,23.9,0.0,0.0,North
Sembawang,2022,4,4,0.0,0.0,0.0,0.0,27.0,33.0,22.3,0.0,0.0,North
Sembawang,2022,4,5,0.0,0.0,0.0,0.0,27.2,30.7,24.1,0.0,0.0,North
Sembawang,2022,4,6,40.2,33.6,37.6,39.4,27.1,34.0,23.8,0.0,0.0,North
Sembawang,2022,4,7,0.6,0.6,0.6,0.6,26.1,27.8,24.3,0.0,0.0,North
Sembawang,2022,4,8,0.0,0.0,0.0,0.0,27.2,33.5,23.7,0.0,0.0,North
Sembawang,2022,4,9,9.0,7.4,8.8,9.0,26.5,31.1,22.2,0.0,0.0,North
Sembawang,2022,4,10,1.4,1.4,1.4,1.4,26.7,32.6,23.8,0.0,0.0,North
Sembawang,2022,4,11,1.6,1.2,1.4,1.4,26.1,32.1,23.6,0.0,0.0,North
Sembawang,2022,4,12,8.4,6.0,6.0,6.0,27.1,33.0,23.4,0.0,0.0,North
Sembawang,2022,4,13,0.0,0.0,0.0,0.0,27.4,32.0,24.1,0.0,0.0,North
Sembawang,2022,4,14,2.4,1.6,2.2,2.4,28.2,32.7,23.0,0.0,0.0,North
Sembawang,2022,4,15,20.1,7.0,11.7,18.9,27.4,31.1,24.6,0.0,0.0,North
Sembawang,2022,4,16,0.4,0.4,0.4,0.4,28.2,32.7,23.9,0.0,0.0,North
Sembawang,2022,4,17,7.8,5.6,5.8,5.8,27.8,34.3,25.4,0.0,0.0,North
Sembawang,2022,4,18,12.7,3.2,4.6,6.6,27.4,33.4,24.3,0.0,0.0,North
Sembawang,2022,4,19,6.2,5.6,5.8,6.0,26.9,32.7,24.7,0.0,0.0,North
Sembawang,2022,4,20,9.0,8.8,9.0,9.0,27.2,33.7,24.2,0.0,0.0,North
Sembawang,2022,4,21,4.8,1.8,3.0,4.4,25.2,27.2,24.0,0.0,0.0,North
Sembawang,2022,4,22,0.0,0.0,0.0,0.0,28.1,33.5,23.3,0.0,0.0,North
Sembawang,2022,4,23,17.9,16.3,17.9,17.9,27.6,33.7,24.9,0.0,0.0,North
Sembawang,2022,4,24,0.6,0.6,0.6,0.6,28.6,33.9,24.6,0.0,0.0,North
Sembawang,2022,4,25,13.7,9.2,9.2,9.2,27.5,33.6,25.0,0.0,0.0,North
Sembawang,2022,4,26,0.0,0.0,0.0,0.0,28.2,32.0,24.2,0.0,0.0,North
Sembawang,2022,4,27,5.4,5.2,5.4,5.4,27.4,32.5,25.3,0.0,0.0,North
Sembawang,2022,4,28,9.0,8.6,9.0,9.0,27.4,33.2,24.7,0.0,0.0,North
Sembawang,2022,4,29,0.0,0.0,0.0,0.0,28.4,33.5,24.8,0.0,0.0,North
Sembawang,2022,4,30,36.0,28.7,31.0,31.0,27.5,33.7,24.5,0.0,0.0,North
Sembawang,2022,5,1,0.4,0.2,0.2,0.2,27.8,32.1,25.3,0.0,0.0,North
Sembawang,2022,5,2,3.0,1.4,1.6,2.2,27.7,31.7,24.1,0.0,0.0,North
Sembawang,2022,5,3,17.7,13.9,16.3,17.1,28.0,32.0,24.0,0.0,0.0,North
Sembawang,2022,5,4,47.4,23.1,33.4,44.0,27.7,31.6,23.8,0.0,0.0,North
Sembawang,2022,5,5,0.0,0.0,0.0,0.0,28.7,32.0,25.7,0.0,0.0,North
Sembawang,2022,5,6,0.0,0.0,0.0,0.0,29.3,33.7,25.5,0.0,0.0,North
Sembawang,2022,5,7,5.0,2.0,2.8,3.6,27.2,31.4,23.9,0.0,0.0,North
Sembawang,2022,5,8,0.6,0.2,0.4,0.4,27.5,30.4,24.9,0.0,0.0,North
Sembawang,2022,5,9,7.6,5.8,6.4,7.2,29.1,33.7,25.8,0.0,0.0,North
Sembawang,2022,5,10,0.0,0.0,0.0,0.2,29.7,34.2,25.7,0.0,0.0,North
Sembawang,2022,5,11,19.9,8.8,13.5,16.3,27.7,30.6,24.5,0.0,0.0,North
Sembawang,2022,5,12,0.0,0.0,0.0,0.0,29.3,33.6,25.4,0.0,0.0,North
Sembawang,2022,5,13,7.4,7.0,7.2,7.4,29.1,34.3,25.7,0.0,0.0,North
Sembawang,2022,5,14,3.8,2.6,2.6,3.0,29.1,33.7,26.2,0.0,0.0,North
Sembawang,2022,5,15,26.1,12.3,15.1,16.9,27.8,33.2,24.2,0.0,0.0,North
Sembawang,2022,5,16,49.4,13.7,24.1,43.6,26.4,31.9,24.1,0.0,0.0,North
Sembawang,2022,5,17,0.0,0.0,0.0,0.0,28.6,33.6,23.6,0.0,0.0,North
Sembawang,2022,5,18,0.0,0.0,0.0,0.0,29.6,33.9,25.0,0.0,0.0,North
Sembawang,2022,5,19,32.8,24.1,26.5,27.3,27.4,32.5,24.4,0.0,0.0,North
Sembawang,2022,5,20,17.7,16.7,17.5,17.7,27.2,32.9,24.5,0.0,0.0,North
Sembawang,2022,5,21,0.0,0.0,0.0,0.0,27.8,33.0,24.2,0.0,0.0,North
Sembawang,2022,5,22,0.0,0.0,0.0,0.0,28.6,33.0,25.0,0.0,0.0,North
Sembawang,2022,5,23,0.2,0.2,0.2,0.2,28.4,33.6,24.7,0.0,0.0,North
Sembawang,2022,5,24,0.0,0.0,0.0,0.0,28.9,34.2,24.3,0.0,0.0,North
Sembawang,2022,5,25,30.2,26.5,28.7,29.7,27.1,33.1,24.1,0.0,0.0,North
Sembawang,2022,5,26,0.0,0.0,0.0,0.0,27.8,32.9,23.3,0.0,0.0,North
Sembawang,2022,5,27,0.0,0.0,0.0,0.0,28.9,34.4,24.7,0.0,0.0,North
Sembawang,2022,5,28,0.0,0.0,0.0,0.0,28.4,32.6,25.3,0.0,0.0,North
Sembawang,2022,5,29,0.0,0.0,0.0,0.0,29.2,34.1,25.4,0.0,0.0,North
Sembawang,2022,5,30,0.0,0.0,0.0,0.0,29.7,34.4,25.1,0.0,0.0,North
Sembawang,2022,5,31,5.6,4.4,5.0,5.4,29.1,34.0,26.0,0.0,0.0,North
Sembawang,2022,6,1,0.0,0.0,0.0,0.0,28.2,31.1,25.5,0.0,0.0,North
Sembawang,2022,6,2,6.2,5.8,6.2,6.2,27.4,31.6,24.5,0.0,0.0,North
Sembawang,2022,6,3,1.2,0.6,0.6,0.6,27.0,30.0,25.1,0.0,0.0,North
Sembawang,2022,6,4,4.4,3.0,3.8,4.2,27.9,32.8,23.9,0.0,0.0,North
Sembawang,2022,6,5,10.1,10.0,10.0,10.1,26.8,32.6,24.7,0.0,0.0,North
Sembawang,2022,6,6,0.0,0.0,0.0,0.0,27.9,31.9,24.7,0.0,0.0,North
Sembawang,2022,6,7,1.4,1.0,1.2,1.2,26.7,29.4,24.5,0.0,0.0,North
Sembawang,2022,6,8,30.0,23.5,29.1,29.5,27.4,33.8,23.9,0.0,0.0,North
Sembawang,2022,6,9,0.4,0.2,0.2,0.2,26.8,31.0,23.6,0.0,0.0,North
Sembawang,2022,6,10,29.5,21.9,29.3,29.5,27.2,33.9,23.3,0.0,0.0,North
Sembawang,2022,6,11,49.0,35.6,45.0,46.8,26.8,31.6,23.1,0.0,0.0,North
Sembawang,2022,6,12,0.0,0.0,0.0,0.0,26.8,29.4,24.2,0.0,0.0,North
Sembawang,2022,6,13,1.4,1.4,1.4,1.4,27.3,32.6,24.6,0.0,0.0,North
Sembawang,2022,6,14,8.8,8.2,8.8,8.8,27.1,31.7,23.6,0.0,0.0,North
Sembawang,2022,6,15,8.8,6.6,6.6,6.6,27.1,32.5,24.5,0.0,0.0,North
Sembawang,2022,6,16,6.4,5.6,5.8,6.0,26.0,29.6,23.7,0.0,0.0,North
Sembawang,2022,6,17,0.2,0.2,0.2,0.4,27.3,31.2,24.1,0.0,0.0,North
Sembawang,2022,6,18,0.8,0.6,0.6,0.8,26.7,31.6,24.1,0.0,0.0,North
Sembawang,2022,6,19,0.2,0.2,0.2,0.2,27.1,31.6,23.1,0.0,0.0,North
Sembawang,2022,6,20,31.0,25.3,28.9,29.5,25.9,28.1,23.7,0.0,0.0,North
Sembawang,2022,6,21,17.5,16.1,17.3,17.5,26.6,29.5,23.5,0.0,0.0,North
Sembawang,2022,6,22,0.0,0.0,0.0,0.0,27.2,31.3,24.3,0.0,0.0,North
Sembawang,2022,6,23,4.0,2.2,3.2,3.2,26.1,30.1,23.9,0.0,0.0,North
Sembawang,2022,6,24,1.2,0.6,0.6,0.6,26.5,31.1,23.5,0.0,0.0,North
Sembawang,2022,6,25,0.6,0.2,0.4,0.4,26.5,29.0,24.3,0.0,0.0,North
Sembawang,2022,6,26,0.0,0.0,0.0,0.0,28.2,33.0,24.3,0.0,0.0,North
Sembawang,2022,6,27,0.0,0.0,0.0,0.0,28.3,33.3,24.6,0.0,0.0,North
Sembawang,2022,6,28,11.1,10.1,10.3,10.3,26.6,33.2,24.2,0.0,0.0,North
Sembawang,2022,6,29,0.0,0.0,0.0,0.0,28.0,32.6,23.5,0.0,0.0,North
Sembawang,2022,6,30,8.4,6.6,8.0,8.4,26.9,30.3,23.9,0.0,0.0,North
Sembawang,2022,7,1,0.0,0.0,0.0,0.0,28.4,32.7,23.7,0.0,0.0,North
Sembawang,2022,7,2,0.0,0.0,0.0,0.0,28.1,32.4,23.8,0.0,0.0,North
Sembawang,2022,7,3,0.0,0.0,0.0,0.0,27.9,32.6,24.0,0.0,0.0,North
Sembawang,2022,7,4,2.8,2.6,2.8,2.8,28.0,33.8,24.2,0.0,0.0,North
Sembawang,2022,7,5,0.2,0.2,0.2,0.2,26.8,31.7,24.6,0.0,0.0,North
Sembawang,2022,7,6,0.0,0.0,0.0,0.0,27.7,31.6,25.1,0.0,0.0,North
Sembawang,2022,7,7,0.0,0.0,0.0,0.0,28.8,33.0,24.9,0.0,0.0,North
Sembawang,2022,7,8,4.2,2.8,3.0,4.0,27.8,31.8,24.5,0.0,0.0,North
Sembawang,2022,7,9,0.0,0.0,0.0,0.0,28.9,33.2,25.4,0.0,0.0,North
Sembawang,2022,7,10,11.3,11.1,11.3,11.3,26.8,29.7,23.8,0.0,0.0,North
Sembawang,2022,7,11,0.0,0.0,0.0,0.0,27.7,31.9,23.7,0.0,0.0,North
Sembawang,2022,7,12,0.0,0.0,0.0,0.0,27.7,31.6,24.3,0.0,0.0,North
Sembawang,2022,7,13,0.0,0.0,0.0,0.0,28.3,32.0,25.3,0.0,0.0,North
Sembawang,2022,7,14,0.0,0.0,0.0,0.0,28.4,32.5,25.6,0.0,0.0,North
Sembawang,2022,7,15,0.6,0.6,0.6,0.6,28.1,32.1,24.9,0.0,0.0,North
Sembawang,2022,7,16,0.0,0.0,0.0,0.0,29.0,32.7,24.9,0.0,0.0,North
Sembawang,2022,7,17,0.0,0.0,0.0,0.0,30.0,33.4,28.0,0.0,0.0,North
Sembawang,2022,7,18,0.0,0.0,0.0,0.0,29.9,33.8,27.7,0.0,0.0,North
Sembawang,2022,7,19,0.0,0.0,0.0,0.0,30.1,33.7,27.5,0.0,0.0,North
Sembawang,2022,7,20,21.1,14.7,16.7,16.7,26.3,29.8,22.2,0.0,0.0,North
Sembawang,2022,7,21,1.0,0.8,1.0,1.0,27.2,32.2,24.2,0.0,0.0,North
Sembawang,2022,7,22,12.7,12.5,12.7,12.7,26.6,32.0,23.9,0.0,0.0,North
Sembawang,2022,7,23,0.0,0.0,0.0,0.0,27.9,33.8,24.4,0.0,0.0,North
Sembawang,2022,7,24,27.5,19.1,23.9,23.9,26.3,32.3,23.8,0.0,0.0,North
Sembawang,2022,7,25,10.7,10.3,10.7,10.7,26.3,30.8,23.3,0.0,0.0,North
Sembawang,2022,7,26,9.4,6.6,8.4,8.4,26.3,29.9,23.3,0.0,0.0,North
Sembawang,2022,7,27,0.0,0.0,0.0,0.0,28.7,33.0,23.6,0.0,0.0,North
Sembawang,2022,7,28,11.1,6.4,6.6,10.5,28.1,31.1,25.0,0.0,0.0,North
Sembawang,2022,7,29,41.8,25.7,35.6,36.8,26.6,31.6,23.5,0.0,0.0,North
Sembawang,2022,7,30,0.0,0.0,0.0,0.2,28.0,32.5,23.8,0.0,0.0,North
Sembawang,2022,7,31,0.0,0.0,0.0,0.0,28.4,32.7,25.3,0.0,0.0,North
Sembawang,2022,8,1,0.2,0.2,0.2,0.2,27.6,30.7,24.4,0.0,0.0,North
Sembawang,2022,8,2,37.4,10.7,17.7,17.9,25.7,30.7,23.6,0.0,0.0,North
Sembawang,2022,8,3,2.2,0.6,0.8,1.0,25.6,28.3,23.5,0.0,0.0,North
Sembawang,2022,8,4,2.4,2.2,2.4,2.6,25.7,28.8,23.2,0.0,0.0,North
Sembawang,2022,8,5,0.0,0.0,0.0,0.0,27.0,31.0,24.4,0.0,0.0,North
Sembawang,2022,8,6,0.0,0.0,0.0,0.0,28.6,32.6,24.3,0.0,0.0,North
Sembawang,2022,8,7,0.0,0.0,0.0,0.0,28.0,31.5,24.9,0.0,0.0,North
Sembawang,2022,8,8,0.0,0.0,0.0,0.0,29.3,32.8,25.1,0.0,0.0,North
Sembawang,2022,8,9,0.0,0.0,0.0,0.0,28.7,33.7,24.1,0.0,0.0,North
Sembawang,2022,8,10,0.0,0.0,0.0,0.0,29.2,33.0,24.7,0.0,0.0,North
Sembawang,2022,8,11,0.0,0.0,0.0,0.0,29.8,33.6,25.9,0.0,0.0,North
Sembawang,2022,8,12,0.6,0.6,0.6,0.6,29.0,32.8,25.4,0.0,0.0,North
Sembawang,2022,8,13,20.7,18.1,19.7,20.5,26.6,31.2,23.5,0.0,0.0,North
Sembawang,2022,8,14,66.5,52.3,65.7,66.5,26.7,33.4,22.7,0.0,0.0,North
Sembawang,2022,8,15,0.0,0.0,0.0,0.0,27.6,31.4,24.4,0.0,0.0,North
Sembawang,2022,8,16,13.1,11.3,12.7,12.7,26.5,30.5,23.3,0.0,0.0,North
Sembawang,2022,8,17,0.0,0.0,0.0,0.0,28.4,33.5,24.5,0.0,0.0,North
Sembawang,2022,8,18,4.8,2.0,3.0,3.0,27.3,32.2,24.6,0.0,0.0,North
Sembawang,2022,8,19,0.0,0.0,0.0,0.0,27.8,32.4,24.4,0.0,0.0,North
Sembawang,2022,8,20,31.2,26.1,29.9,30.8,27.0,32.2,24.3,0.0,0.0,North
Sembawang,2022,8,21,37.6,24.7,33.2,36.0,26.1,29.5,23.8,0.0,0.0,North
Sembawang,2022,8,22,0.0,0.0,0.0,0.0,28.4,32.5,24.1,0.0,0.0,North
Sembawang,2022,8,23,37.2,25.9,30.6,30.6,25.9,28.8,23.7,0.0,0.0,North
Sembawang,2022,8,24,0.8,0.6,0.8,0.8,26.7,32.1,23.3,0.0,0.0,North
Sembawang,2022,8,25,1.2,0.4,0.8,0.8,26.5,31.1,24.5,0.0,0.0,North
Sembawang,2022,8,26,3.2,1.4,1.4,1.6,25.2,26.7,23.4,0.0,0.0,North
Sembawang,2022,8,27,26.7,12.9,20.9,25.9,25.6,31.3,22.9,0.0,0.0,North
Sembawang,2022,8,28,1.4,0.6,0.8,1.2,26.3,30.9,23.4,0.0,0.0,North
Sembawang,2022,8,29,7.2,4.2,5.8,6.0,26.1,30.9,23.5,0.0,0.0,North
Sembawang,2022,8,30,0.6,0.6,0.6,0.6,26.5,29.8,24.5,0.0,0.0,North
Sembawang,2022,8,31,0.0,0.0,0.0,0.0,28.0,32.9,23.4,0.0,0.0,North
Sembawang,2022,9,1,18.9,15.7,18.9,18.9,27.3,33.1,24.0,0.0,0.0,North
Sembawang,2022,9,2,1.6,0.8,1.0,1.6,26.1,30.4,23.8,0.0,0.0,North
Sembawang,2022,9,3,0.0,0.0,0.0,0.0,27.8,32.4,23.8,0.0,0.0,North
Sembawang,2022,9,4,20.5,8.0,10.7,11.1,26.5,30.1,23.4,0.0,0.0,North
Sembawang,2022,9,5,64.1,55.7,60.5,63.7,25.9,31.2,22.9,0.0,0.0,North
Sembawang,2022,9,6,0.0,0.0,0.0,0.0,27.6,33.0,23.9,0.0,0.0,North
Sembawang,2022,9,7,0.0,0.0,0.0,0.0,26.6,30.6,24.7,0.0,0.0,North
Sembawang,2022,9,8,0.0,0.0,0.0,0.0,27.7,32.1,25.0,0.0,0.0,North
Sembawang,2022,9,9,12.5,9.0,10.1,10.7,26.1,29.3,24.8,0.0,0.0,North
Sembawang,2022,9,10,0.2,0.2,0.2,0.2,27.8,32.2,24.3,0.0,0.0,North
Sembawang,2022,9,11,20.7,20.5,20.7,20.7,26.4,30.0,24.5,0.0,0.0,North
Sembawang,2022,9,12,0.0,0.0,0.0,0.0,27.3,32.2,22.4,0.0,0.0,North
Sembawang,2022,9,13,9.4,7.6,9.2,9.4,26.5,31.3,23.5,0.0,0.0,North
Sembawang,2022,9,14,1.0,1.0,1.0,1.0,26.6,29.5,24.4,0.0,0.0,North
Sembawang,2022,9,15,0.0,0.0,0.0,0.0,27.4,31.9,24.0,0.0,0.0,North
Sembawang,2022,9,16,0.0,0.0,0.0,0.0,28.0,32.4,23.9,0.0,0.0,North
Sembawang,2022,9,17,0.4,0.2,0.4,0.4,27.5,30.7,24.3,0.0,0.0,North
Sembawang,2022,9,18,49.2,26.5,35.2,40.4,25.2,27.5,22.8,0.0,0.0,North
Sembawang,2022,9,19,0.0,0.0,0.0,0.0,27.1,30.5,24.0,0.0,0.0,North
Sembawang,2022,9,20,0.0,0.0,0.0,0.0,26.3,29.0,24.0,0.0,0.0,North
Sembawang,2022,9,21,0.0,0.0,0.0,0.0,28.1,32.5,24.2,0.0,0.0,North
Sembawang,2022,9,22,59.3,20.3,36.8,55.3,26.0,29.2,23.0,0.0,0.0,North
Sembawang,2022,9,23,0.0,0.0,0.0,0.0,28.2,32.4,24.6,0.0,0.0,North
Sembawang,2022,9,24,0.8,0.4,0.4,0.6,27.4,31.9,24.3,0.0,0.0,North
Sembawang,2022,9,25,58.5,31.2,42.2,48.4,25.7,30.4,21.9,0.0,0.0,North
Sembawang,2022,9,26,0.2,0.2,0.2,0.2,27.2,30.4,24.2,0.0,0.0,North
Sembawang,2022,9,27,0.0,0.0,0.0,0.0,27.6,32.6,23.5,0.0,0.0,North
Sembawang,2022,9,28,0.0,0.0,0.0,0.0,27.8,32.3,24.3,0.0,0.0,North
Sembawang,2022,9,29,20.7,17.5,19.7,20.1,26.9,31.1,23.3,0.0,0.0,North
Sembawang,2022,9,30,0.0,0.0,0.0,0.0,28.1,33.0,24.4,0.0,0.0,North
Sembawang,2022,10,1,27.7,20.7,24.1,24.1,26.5,31.2,24.4,0.0,0.0,North
Sembawang,2022,10,2,34.6,21.1,21.1,21.3,26.5,32.2,23.4,0.0,0.0,North
Sembawang,2022,10,3,50.5,30.2,38.8,48.2,25.7,32.1,23.1,0.0,0.0,North
Sembawang,2022,10,4,2.2,1.6,2.0,2.0,26.0,30.3,23.4,0.0,0.0,North
Sembawang,2022,10,5,48.2,18.9,29.1,44.0,25.8,29.1,23.4,0.0,0.0,North
Sembawang,2022,10,6,21.1,14.3,18.9,18.9,25.6,30.4,23.9,0.0,0.0,North
Sembawang,2022,10,7,4.4,1.4,2.0,3.2,25.0,29.6,23.7,0.0,0.0,North
Sembawang,2022,10,8,0.0,0.0,0.0,0.0,27.2,32.0,23.4,0.0,0.0,North
Sembawang,2022,10,9,0.0,0.0,0.0,0.0,27.6,31.3,24.9,0.0,0.0,North
Sembawang,2022,10,10,30.4,10.0,13.7,23.9,26.3,29.0,23.4,0.0,0.0,North
Sembawang,2022,10,11,6.0,3.2,5.0,5.8,27.8,33.1,24.0,0.0,0.0,North
Sembawang,2022,10,12,7.4,4.6,4.6,4.6,26.0,29.4,23.5,0.0,0.0,North
Sembawang,2022,10,13,0.0,0.0,0.0,0.0,27.8,32.8,24.1,0.0,0.0,North
Sembawang,2022,10,14,0.0,0.0,0.0,0.0,27.2,31.0,23.9,0.0,0.0,North
Sembawang,2022,10,15,0.0,0.0,0.0,0.0,28.0,32.5,24.7,0.0,0.0,North
Sembawang,2022,10,16,15.3,4.0,7.8,10.9,26.7,31.0,23.3,0.0,0.0,North
Sembawang,2022,10,17,7.2,4.6,6.4,7.2,27.3,31.5,23.3,0.0,0.0,North
Sembawang,2022,10,18,0.0,0.0,0.0,0.0,27.8,31.7,24.3,0.0,0.0,North
Sembawang,2022,10,19,10.9,10.9,10.9,10.9,27.8,31.7,25.1,0.0,0.0,North
Sembawang,2022,10,20,0.0,0.0,0.0,0.0,29.6,33.8,25.7,0.0,0.0,North
Sembawang,2022,10,21,26.7,14.3,19.9,23.9,26.2,29.5,23.1,0.0,0.0,North
Sembawang,2022,10,22,3.0,1.2,1.6,2.0,26.3,32.0,23.9,0.0,0.0,North
Sembawang,2022,10,23,0.0,0.0,0.0,0.0,26.6,29.9,23.8,0.0,0.0,North
Sembawang,2022,10,24,0.6,0.2,0.4,0.6,27.0,30.1,24.9,0.0,0.0,North
Sembawang,2022,10,25,16.9,5.4,10.7,13.5,26.3,31.2,23.3,0.0,0.0,North
Sembawang,2022,10,26,0.2,0.2,0.2,0.2,25.7,29.2,23.6,0.0,0.0,North
Sembawang,2022,10,27,1.8,1.4,1.8,1.8,27.5,32.6,24.1,0.0,0.0,North
Sembawang,2022,10,28,0.6,0.4,0.4,0.4,27.8,33.4,24.5,0.0,0.0,North
Sembawang,2022,10,29,0.0,0.0,0.0,0.0,27.8,32.9,24.0,0.0,0.0,North
Sembawang,2022,10,30,52.7,26.1,31.0,49.9,27.9,32.9,23.9,0.0,0.0,North
Sembawang,2022,10,31,8.2,7.4,21.5,29.5,27.2,31.7,23.5,0.0,0.0,North
Sembawang,2022,11,1,0.0,0.0,0.0,0.0,26.8,29.6,24.1,0.0,0.0,North
Sembawang,2022,11,2,0.0,0.0,0.0,0.0,27.4,32.5,24.0,0.0,0.0,North
Sembawang,2022,11,3,2.0,1.8,2.0,2.0,27.0,31.5,23.9,0.0,0.0,North
Sembawang,2022,11,4,15.9,8.8,10.9,10.9,28.0,32.8,23.5,0.0,0.0,North
Sembawang,2022,11,5,33.6,17.1,23.3,26.9,25.1,27.4,22.2,0.0,0.0,North
Sembawang,2022,11,6,0.0,0.0,0.0,0.0,26.6,31.9,23.6,0.0,0.0,North
Sembawang,2022,11,7,106.5,38.0,61.7,98.3,26.4,32.3,23.2,0.0,0.0,North
Sembawang,2022,11,8,13.5,9.8,12.3,12.3,25.6,31.6,23.0,0.0,0.0,North
Sembawang,2022,11,9,1.2,0.6,1.0,1.0,26.0,29.2,23.1,0.0,0.0,North
Sembawang,2022,11,10,9.8,2.2,3.8,7.2,26.6,30.3,24.2,0.0,0.0,North
Sembawang,2022,11,11,3.2,3.0,3.0,3.0,26.5,31.5,23.5,0.0,0.0,North
Sembawang,2022,11,12,29.1,12.7,18.3,25.5,25.7,30.8,23.8,0.0,0.0,North
Sembawang,2022,11,13,9.0,4.4,7.2,8.8,25.8,30.5,23.3,0.0,0.0,North
Sembawang,2022,11,14,59.5,29.5,47.6,58.1,27.0,31.8,23.4,0.0,0.0,North
Sembawang,2022,11,15,1.4,0.6,0.8,0.8,27.4,31.8,23.7,0.0,0.0,North
Sembawang,2022,11,16,34.8,16.5,29.5,32.0,27.1,33.8,24.3,0.0,0.0,North
Sembawang,2022,11,17,0.8,0.8,0.8,0.8,27.2,31.9,24.1,0.0,0.0,North
Sembawang,2022,11,18,0.0,0.0,0.0,0.0,28.2,32.2,25.3,0.0,0.0,North
Sembawang,2022,11,19,7.0,2.0,3.2,5.4,25.8,27.3,22.9,0.0,0.0,North
Sembawang,2022,11,20,0.4,0.2,0.4,0.4,27.3,31.6,23.6,0.0,0.0,North
Sembawang,2022,11,21,2.4,1.4,2.4,2.4,27.7,32.6,22.9,0.0,0.0,North
Sembawang,2022,11,22,2.2,2.2,2.2,2.2,28.7,33.1,25.2,0.0,0.0,North
Sembawang,2022,11,23,3.8,3.0,3.4,3.8,26.6,30.6,23.2,0.0,0.0,North
Sembawang,2022,11,24,30.2,19.1,30.2,30.2,28.2,33.4,23.4,0.0,0.0,North
Sembawang,2022,11,25,8.2,14.5,31.6,36.2,27.2,31.1,23.7,0.0,0.0,North
Sembawang,2022,11,26,0.0,0.0,0.0,0.0,27.8,32.3,24.1,0.0,0.0,North
Sembawang,2022,11,27,8.8,8.2,8.4,8.4,25.7,29.0,23.4,0.0,0.0,North
Sembawang,2022,11,28,67.3,44.8,62.9,63.1,26.1,32.7,23.2,0.0,0.0,North
Sembawang,2022,11,29,9.8,9.8,9.8,9.8,26.3,32.8,23.4,0.0,0.0,North
Sembawang,2022,11,30,20.3,10.1,14.3,18.9,26.3,33.2,23.2,0.0,0.0,North
Sembawang,2022,12,1,31.2,16.1,24.9,26.3,25.6,31.5,23.5,0.0,0.0,North
Sembawang,2022,12,2,9.8,7.8,8.2,9.2,25.6,29.5,23.6,0.0,0.0,North
Sembawang,2022,12,3,0.2,0.2,0.2,0.2,26.8,31.4,22.9,0.0,0.0,North
Sembawang,2022,12,4,10.1,6.6,7.6,9.8,26.8,30.5,23.6,0.0,0.0,North
Sembawang,2022,12,5,14.1,7.2,11.3,12.9,25.9,30.9,23.9,0.0,0.0,North
Sembawang,2022,12,6,3.2,3.0,3.2,3.2,26.2,31.9,23.2,0.0,0.0,North
Sembawang,2022,12,7,0.6,0.4,0.4,0.6,26.6,31.8,24.1,0.0,0.0,North
Sembawang,2022,12,8,4.4,3.2,3.2,3.2,26.3,30.2,24.0,0.0,0.0,North
Sembawang,2022,12,9,0.2,0.2,0.2,0.2,26.0,29.7,23.6,0.0,0.0,North
